date,dollar_yen_nakane
2025/1/1,158.18
2025/1/2,158.18
2025/1/3,158.18
2025/1/4,158.18
2025/1/5,158.18
2025/1/6,157.73
2025/1/7,158.22
2025/1/8,158.09
2025/1/9,158.43
2025/1/10,158.18
2025/1/11,158.18
2025/1/12,158.18
2025/1/13,158.18
2025/1/14,157.57
2025/1/15,158.08
2025/1/16,156.46
2025/1/17,155.25
2025/1/18,155.25
2025/1/19,155.25
2025/1/20,156.08
2025/1/21,156.1
2025/1/22,155.55
2025/1/23,156.5
2025/1/24,156.33
2025/1/25,156.33
2025/1/26,156.33
2025/1/27,155.6
2025/1/28,155.13
2025/1/29,155.68
2025/1/30,154.76
2025/1/31,154.43
2025/2/1,154.43
2025/2/2,154.43
2025/2/3,155.71
2025/2/4,155.35
2025/2/5,154.07
2025/2/6,152.61
2025/2/7,151.3
2025/2/8,151.3
2025/2/9,151.3
2025/2/10,151.96
2025/2/11,151.96
2025/2/12,153.26
2025/2/13,154.51
