date,transaction_type,deposit_quantity,deposit_rate,deposit_en,withdrawal_quantity,withdrawal_rate,withdrawal_en,balance_quantity,balance_rate,balance_en
2020/04/01,HDV配当入金,3.97,106.59,423,,,,3.97,106.5491183879093,423.0
2020/06/19,HDV配当入金,10.76,105.95,1140,,,,14.73,106.1099796334012,1563.0
2020/09/29,HDV配当入金,14.73,104.35,1537,,,,29.46,105.2274270196877,3100.0
2020/12/18,HDV配当入金,20.61,102.26,2107,,,,50.07,103.9944078290393,5207.0
2021/03/31,HDV配当入金,23.49,109.71,2577,,,,73.56,105.8183795541054,7784.0
2021/06/16,HDV配当入金,25.69,109.16,2804,,,,99.25,106.6801007556675,10588.0
2021/09/30,HDV配当入金,27.45,110.92,3044,,,,126.7,107.5927387529597,13632.0
2021/12/17,HDV配当入金,42.31,112.87,4775,,,,169.01,108.9107153422874,18407.0
2022/03/30,HDV配当入金,38.74,121.48,4706,,,,207.75,111.2539109506618,23113.0
2022/05/22,住信SBI利子,0.01,127.85,1,,,,207.76,111.2533692722372,23114.0
