日付,摘要,摘要内容,支払い金額,預かり金額,差引残高
2024/12/2,税金,６ネン２キ　シヨトク,"100,001",,"1,000,000"
2024/12/2,年金,コクミンネンキン,"17,320",,"1,000,000"
2024/12/2,口座振替３,コクミンケンコウホケン,"100,000",,"1,000,000"
2024/12/5,口座振替４,ＳＭＢＣ（スミシンＳＢＩ,"115,000",,"1,000,000"
2024/12/7,カ−ド,,"30,000",,"1,000,000"
2024/12/15,カ−ド,,"30,000",,"1,000,000"
2024/12/18,口座振替３,シヨウキボキヨウサイ,"70,000",,"1,000,000"
2024/12/19,ガス,ケイヨウガス１２ガツ,"9,050",,"1,000,000"
2024/12/25,口座振替３,コクミンケンコウホケン,"98,500",,"1,000,000"
2024/12/25,振込１,カ）アイ−ガイシャ,,"100,000","1,000,000"
2024/12/26,口座振替３,カクテイキヨシユツカケキ,"50,000",,"1,000,000"
2024/12/28,カ−ド,,"30,000",,"1,000,000"
